"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@Clint_Andrie Lagot sila kay Aunt Julie tsktsk",FALSE,2,"Clint_Andrie",2020-08-19 23:56:30,FALSE,"1296024930262245377","1296234617775591424","894369369123209217","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lahirstellar",0,FALSE,FALSE,NA,NA
"2","RT @jaicabajar: By tita, I mean aunt Julie.",FALSE,0,NA,2020-08-19 23:54:02,FALSE,NA,"1296233997635207169",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","soundslikebam",111,TRUE,FALSE,NA,NA
"3","AUNT JULIE SJSJSJJSJSJSJSJSJSKSSK https://t.co/dOtdshKUX4",FALSE,0,NA,2020-08-19 23:46:40,FALSE,NA,"1296232141462724613",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","F0RWINMETAWIN",0,FALSE,FALSE,NA,NA
"4","My aunt just sent me this pic from the late-90s. My iguana, Iron Man, and yes, those were my jeans. 🤘🏻 https://t.co/MHAXBrQQXG",FALSE,3,NA,2020-08-19 23:43:39,FALSE,NA,"1296231382734209025",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","julie__hunter",0,FALSE,FALSE,NA,NA
"5","RT @thArtofPatpat: Our favorite tita, the one who spoils her inaanaks.

Hi Aunt Julie !
@macoydubs1 
#artph https://t.co/A11DW1xbsz",FALSE,0,NA,2020-08-19 23:38:24,FALSE,NA,"1296230064611135489",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_beacastillo",45,TRUE,FALSE,NA,NA
"6","RT @thArtofPatpat: Our favorite tita, the one who spoils her inaanaks.

Hi Aunt Julie !
@macoydubs1 
#artph https://t.co/A11DW1xbsz",FALSE,0,NA,2020-08-19 23:37:23,FALSE,NA,"1296229808863694849",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CarolineArtsy",45,TRUE,FALSE,NA,NA
"7","RT @thArtofPatpat: Our favorite tita, the one who spoils her inaanaks.

Hi Aunt Julie !
@macoydubs1 
#artph https://t.co/A11DW1xbsz",FALSE,0,NA,2020-08-19 23:35:26,FALSE,NA,"1296229316326567936",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","axiimelkteh",45,TRUE,FALSE,NA,NA
"8","RT @IMpopoy_dlcrz: @macoydubs1 Hahaha Aunt Julie you were declined! My gosh u can't let your fellow POVEDA Titas know this! The hermanas wi…",FALSE,0,NA,2020-08-19 23:32:28,FALSE,NA,"1296228568972685317",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","1HouseONEruler",3,TRUE,FALSE,NA,NA
"9","Happy Thursday! a busy day ahead but this Tita is wearing pearls so she means business!!! Aunt Julie will be proud 🤣 https://t.co/UhYwJcromo",FALSE,5,NA,2020-08-19 23:23:37,FALSE,NA,"1296226343894388738",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jenniangel",0,FALSE,FALSE,NA,NA
"10","RT @thArtofPatpat: Our favorite tita, the one who spoils her inaanaks.

Hi Aunt Julie !
@macoydubs1 
#artph https://t.co/A11DW1xbsz",FALSE,0,NA,2020-08-19 23:20:30,FALSE,NA,"1296225557537935360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tsaalit",45,TRUE,FALSE,NA,NA
"11","RT @thArtofPatpat: Our favorite tita, the one who spoils her inaanaks.

Hi Aunt Julie !
@macoydubs1 
#artph https://t.co/A11DW1xbsz",FALSE,0,NA,2020-08-19 23:12:51,FALSE,NA,"1296223634478964736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wuwiwoyd",45,TRUE,FALSE,NA,NA
"12","RT @jaicabajar: By tita, I mean aunt Julie.",FALSE,0,NA,2020-08-19 23:06:38,FALSE,NA,"1296222069542121472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kwinsexy",111,TRUE,FALSE,NA,NA
"13","RT @MissMarisRacal: kinda sad. i just want aunt julie to therapize me.",FALSE,0,NA,2020-08-19 22:59:29,FALSE,NA,"1296220268642279424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jhndrkgnrs",300,TRUE,FALSE,NA,NA
"14","Ang pagtatapo ni aling cely at aunt julie 🤣🤣🤣 https://t.co/gBXz5KiOpy",FALSE,2,NA,2020-08-19 22:22:21,FALSE,NA,"1296210923003113472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CERELINdrina",0,FALSE,FALSE,NA,NA
"15","RT @jaicabajar: By tita, I mean aunt Julie.",FALSE,0,NA,2020-08-19 22:06:37,FALSE,NA,"1296206963861155841",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jandgemental",111,TRUE,FALSE,NA,NA
"16","RT @jaicabajar: By tita, I mean aunt Julie.",FALSE,0,NA,2020-08-19 21:35:41,FALSE,NA,"1296199181300666368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chiiiiiiiingkay",111,TRUE,FALSE,NA,NA
"17","RT @jaicabajar: By tita, I mean aunt Julie.",FALSE,0,NA,2020-08-19 21:26:25,FALSE,NA,"1296196848395329537",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","biancamrtn",111,TRUE,FALSE,NA,NA
"18","RT @holeaspirit: Aunt Julie             🤝                Aunt Lea 

tignan niyo, simula sa ngiti, kamay, aura ganern! very tita anez? https…",FALSE,0,NA,2020-08-19 21:03:53,FALSE,NA,"1296191179629895680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tzujjeuwi",24,TRUE,FALSE,NA,NA
"19","RT @KrissyAchino: Your Aunt Julie @MacoyDubs1 invited me to a Zoom Conference earlier. I’ll post the ganaps tomorrow on TikTok. You guys wa…",FALSE,0,NA,2020-08-19 20:58:23,FALSE,NA,"1296189793559130112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","enceladusmoon13",45,TRUE,FALSE,NA,NA
"20","RT @thArtofPatpat: Our favorite tita, the one who spoils her inaanaks.

Hi Aunt Julie !
@macoydubs1 
#artph https://t.co/A11DW1xbsz",FALSE,0,NA,2020-08-19 20:19:40,FALSE,NA,"1296180049805107201",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adobodobong",45,TRUE,FALSE,NA,NA
"21","RT @jaicabajar: By tita, I mean aunt Julie.",FALSE,0,NA,2020-08-19 20:09:59,FALSE,NA,"1296177614051110915",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jessmny",111,TRUE,FALSE,NA,NA
"22","RT @MissMarisRacal: kinda sad. i just want aunt julie to therapize me.",FALSE,0,NA,2020-08-19 20:09:20,FALSE,NA,"1296177447801511936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TrishaFaller1",300,TRUE,FALSE,NA,NA
"23","RT @thArtofPatpat: Our favorite tita, the one who spoils her inaanaks.

Hi Aunt Julie !
@macoydubs1 
#artph https://t.co/A11DW1xbsz",FALSE,0,NA,2020-08-19 19:56:25,FALSE,NA,"1296174197220114432",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","nu_beyb",45,TRUE,FALSE,NA,NA
"24","RT @jaicabajar: By tita, I mean aunt Julie.",FALSE,0,NA,2020-08-19 19:52:00,FALSE,NA,"1296173087734378496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","manggseulrene",111,TRUE,FALSE,NA,NA
"25","RT @jaicabajar: By tita, I mean aunt Julie. https://t.co/3NzhvPClYJ",FALSE,0,NA,2020-08-19 19:51:16,FALSE,NA,"1296172905210867712",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","_pmla",111,TRUE,FALSE,NA,NA
"26","@TheInfamousOne6 why does this Julie person think that hitting anyone for any reason is ok?...so I guess she doesn'… https://t.co/SNEYYFYMrm",FALSE,2,"TheInfamousOne6",2020-08-19 19:18:35,TRUE,"1296157372918820864","1296164679815921665","1225199590439190529","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KarenFH8",0,FALSE,FALSE,NA,NA
"27","@ribsrep Ang tanong eh bakit nakikiupo si kuya kina aunt julie? 🤣",FALSE,1,"ribsrep",2020-08-19 19:16:14,FALSE,"1296156236929409024","1296164087143907329","1269545655711567873","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WinSooHyung",0,FALSE,FALSE,NA,NA
"28","Sarap sigurong maging ninang ni aunt Julie. Ninang Julie @macoydubs1",FALSE,0,NA,2020-08-19 19:09:10,FALSE,NA,"1296162308834512898",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EnPRetch",0,FALSE,FALSE,NA,NA
"29","@macoydubs1 Gawa ka muna tiktok ""Aunt Julie can't sleep"" 😂🤣♥️♥️♥️",FALSE,0,"macoydubs1",2020-08-19 18:57:59,FALSE,"1296153119487737857","1296159494100127747","1204452994034454528","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","itsmemitch_",0,FALSE,FALSE,NA,NA
"30","@macoydubs1 Warm milk or chamomile tea helps, Aunt Julie.",FALSE,4,"macoydubs1",2020-08-19 18:56:28,FALSE,"1296153119487737857","1296159113844420608","1204452994034454528","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","spempemm",0,FALSE,FALSE,NA,NA
"31","RT @jaicabajar: By tita, I mean aunt Julie.",FALSE,0,NA,2020-08-19 18:48:45,FALSE,NA,"1296157170694680576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dmlg_alegna",111,TRUE,FALSE,NA,NA
"32","RT @G_ekkoism: Aunt Julie 's (@macoydubs1 ) son (@KarlBauuu) using dating app be like. Lalamove be scratching their heads to why they are t…",FALSE,0,NA,2020-08-19 18:43:56,FALSE,NA,"1296155958276575232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jedie_love",44,TRUE,FALSE,NA,NA
"33","@macoydubs1 Hay nako baka nagvvideocall friends mo tapos ikaw ang topic kaya hindi ka makatulog, Aunt Julie! Check your amigas!",FALSE,2,"macoydubs1",2020-08-19 18:37:24,FALSE,"1296153119487737857","1296154314788937729","1204452994034454528","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kh4ter",0,FALSE,FALSE,NA,NA
"34","RT @macoydubs1: Maria Julie A. Penaloza 
Elem-HS, Saint Pedro Poveda College
AB Communication, Fordham University

Kids: 
Robert Angelo
Cas…",FALSE,0,NA,2020-08-19 18:34:24,FALSE,NA,"1296153559830945792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lestherrr_",413,TRUE,FALSE,NA,NA
"35","@macoydubs1 Saan ba nagsisimba si Aunt Julie? Feeling ko ang laki laki lagi ng binibigay niya kapag offering hahahaha!",FALSE,2,"macoydubs1",2020-08-19 18:32:24,FALSE,"1296152740096139267","1296153054153043969","1204452994034454528","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","InahEvans",0,FALSE,FALSE,NA,NA
