"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Sksksksksks Macoy Dubs aka Aunt Julie liked this tweet. Ikaw favorite Aunt ko.

Sana masarap lagi ulam mo at lagi k… https://t.co/ZJB8GPfdwh",FALSE,0,NA,2020-08-20 14:58:44,TRUE,NA,"1296461673230999554",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Iskskso3037",0,FALSE,FALSE,NA,NA
"2","RT @cnnphilippines: “Aunt Julie meets Tita Pia”

Influencer @macoydubs1 is changing the vlogging landscape with his wit and humor, helping…",FALSE,0,NA,2020-08-20 14:58:11,FALSE,NA,"1296461535955623936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lorenzoomoya",40,TRUE,FALSE,NA,NA
"3","RT @cnnphilippines: “Aunt Julie meets Tita Pia”

Influencer @macoydubs1 is changing the vlogging landscape with his wit and humor, helping…",FALSE,0,NA,2020-08-20 14:50:45,FALSE,NA,"1296459662443905029",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","QuiambaoKyle",40,TRUE,FALSE,NA,NA
"4","RT @cnnphilippines: “Aunt Julie meets Tita Pia”

Influencer @macoydubs1 is changing the vlogging landscape with his wit and humor, helping…",FALSE,0,NA,2020-08-20 14:48:17,FALSE,NA,"1296459044752969728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","franzhalili_",40,TRUE,FALSE,NA,NA
"5","RT @cnnphilippines: “Aunt Julie meets Tita Pia”

Influencer @macoydubs1 is changing the vlogging landscape with his wit and humor, helping…",FALSE,0,NA,2020-08-20 14:48:08,FALSE,NA,"1296459005498404864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","karieross",40,TRUE,FALSE,NA,NA
"6","RT @cnnphilippines: “Aunt Julie meets Tita Pia”

Influencer @macoydubs1 is changing the vlogging landscape with his wit and humor, helping…",FALSE,0,NA,2020-08-20 14:47:01,FALSE,NA,"1296458724840800264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mienmien08",40,TRUE,FALSE,NA,NA
"7","RT @cnnphilippines: “Aunt Julie meets Tita Pia”

Influencer @macoydubs1 is changing the vlogging landscape with his wit and humor, helping…",FALSE,0,NA,2020-08-20 14:42:47,FALSE,NA,"1296457660187979777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nicolas0440",40,TRUE,FALSE,NA,NA
"8","RT @cnnphilippines: “Aunt Julie meets Tita Pia”

Influencer @macoydubs1 is changing the vlogging landscape with his wit and humor, helping…",FALSE,0,NA,2020-08-20 14:40:46,FALSE,NA,"1296457152572395521",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Avagayil",40,TRUE,FALSE,NA,NA
"9","@twmacbnbn @kimrabile Hahahahahaha about aunt julie ba yan? 😂😂😂",FALSE,0,"twmacbnbn",2020-08-20 14:33:35,FALSE,"1296425557878611969","1296455344940560386","147444151","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jelyan__",0,FALSE,FALSE,NA,NA
"10","I really enjoy the Aunt Julie series. Sa mga panahong sobrang busy ko sa work at sa mga nangyayari sa bansa, mga ga… https://t.co/BiVqLmJVuB",FALSE,0,NA,2020-08-20 14:32:55,TRUE,NA,"1296455177344552960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","daREALdelacruz",0,FALSE,FALSE,NA,NA
"11","@micahffeine really? I heard Uncle Mark is sangkot in a corruption scandal. Kaya siguro Aunt Julie’s card got decli… https://t.co/2qG3Sn0NDy",FALSE,1,"micahffeine",2020-08-20 14:31:36,TRUE,"1296454046522527745","1296454844404899840","2896577456","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theguyissober",0,FALSE,FALSE,NA,NA
"12","RT @cnnphilippines: “Aunt Julie meets Tita Pia”

Influencer @macoydubs1 is changing the vlogging landscape with his wit and humor, helping…",FALSE,0,NA,2020-08-20 14:31:03,FALSE,NA,"1296454705770569734",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rnblsll",40,TRUE,FALSE,NA,NA
"13","ngano malingaw ko kay aunt julie? :—-( HAHAHAH",FALSE,1,NA,2020-08-20 14:28:57,FALSE,NA,"1296454178248839172",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jealroyo_",0,FALSE,FALSE,NA,NA
"14","@holeaspirit wag mo kong umpisahan sa pagkaburgis ha alam ko kumare mo si aunt ael and julie 😗 pero why nOT para ma… https://t.co/h9eVQqTEGk",FALSE,1,"holeaspirit",2020-08-20 14:27:47,TRUE,"1296453488445206530","1296453884622364672","1270665304679444480","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sanalumigaya",0,FALSE,FALSE,NA,NA
"15","@macoydubs1 Aunt Julie ♥️😅♥️",FALSE,0,"macoydubs1",2020-08-20 14:23:15,FALSE,"1296374239927218176","1296452743067049988","1204452994034454528","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ReinEscano",0,FALSE,FALSE,NA,NA
"16","@cnnphilippines @macoydubs1 @piahontiveros Go Aunt Julie!",FALSE,0,"cnnphilippines",2020-08-20 14:21:04,FALSE,"1296426763719933952","1296452195051868162","2811559122","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","adinagsao",0,FALSE,FALSE,NA,NA
"17","@micahffeine Me too. Aunt Julie made me promise not to make labas muna coz of the banta of local transmission",FALSE,1,"micahffeine",2020-08-20 14:15:09,FALSE,"1296441830725255168","1296450702718402561","2896577456","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theguyissober",0,FALSE,FALSE,NA,NA
"18","@patsimxne POTANGINA AHSHSJ AUNT JULIE SI PAT PO",FALSE,1,"patsimxne",2020-08-20 14:14:55,FALSE,"1296450468672155648","1296450647412416520","1490582580","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maiebora",0,FALSE,FALSE,NA,NA
"19","This is going to be fun! 

Tita Pia x Aunt Julie https://t.co/29hxM07v6l",FALSE,2,NA,2020-08-20 14:14:25,FALSE,NA,"1296450521977499648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anjocalimario",0,FALSE,FALSE,NA,NA
"20","@macoydubs1 Aunt Julie knows how to take bathroom selfie! Char.",FALSE,0,"macoydubs1",2020-08-20 14:12:26,FALSE,"1296439635783159812","1296450022171705345","1204452994034454528","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ricci_richy",0,FALSE,FALSE,NA,NA
"21","RT @cnnphilippines: “Aunt Julie meets Tita Pia”

Influencer @macoydubs1 is changing the vlogging landscape with his wit and humor, helping…",FALSE,0,NA,2020-08-20 14:08:38,FALSE,NA,"1296449064721145856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_fourteenzero",40,TRUE,FALSE,NA,NA
"22","@hobbynear AUNT JULIE IS FROM NEGROS OCCIDENTAL FITE ME",FALSE,1,"hobbynear",2020-08-20 14:05:28,FALSE,"1296414744400855040","1296448266360565763","785218772009259008","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","imsethpullona",0,FALSE,FALSE,NA,NA
"23","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-20 14:05:10,FALSE,NA,"1296448190661656578",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heyaroenne",245,TRUE,FALSE,NA,NA
"24","RT @jaicabajar: By tita, I mean aunt Julie.",FALSE,0,NA,2020-08-20 14:04:28,FALSE,NA,"1296448014727421955",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kleyrxx",111,TRUE,FALSE,NA,NA
"25","RT @cnnphilippines: “Aunt Julie meets Tita Pia”

Influencer @macoydubs1 is changing the vlogging landscape with his wit and humor, helping…",FALSE,0,NA,2020-08-20 14:03:35,FALSE,NA,"1296447795667390465",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fernandezmtc",40,TRUE,FALSE,NA,NA
"26","RT @cnnphilippines: “Aunt Julie meets Tita Pia”

Influencer @macoydubs1 is changing the vlogging landscape with his wit and humor, helping…",FALSE,0,NA,2020-08-20 14:03:07,FALSE,NA,"1296447676385562624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aleisamarieee",40,TRUE,FALSE,NA,NA
"27","RT @cnnphilippines: “Aunt Julie meets Tita Pia”

Influencer @macoydubs1 is changing the vlogging landscape with his wit and humor, helping…",FALSE,0,NA,2020-08-20 14:01:08,FALSE,NA,"1296447176290295809",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","reanskayne",40,TRUE,FALSE,NA,NA
"28","ako lang ba tuwang tuwa kay aunt julie HAHAHHAHAHAHA",FALSE,0,NA,2020-08-20 14:00:06,FALSE,NA,"1296446916310564866",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","chrseli",0,FALSE,FALSE,NA,NA
"29","Finally a duet na  nag match dun sa original! Hahahaha ito fave ko sa lahat ng mga naka duet kay aunt julie! https://t.co/wOV1eoySxb",FALSE,1,NA,2020-08-20 13:57:55,FALSE,NA,"1296446366298841088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yvespatrocinio",0,FALSE,FALSE,NA,NA
"30","RT @thexwanders: Aunt Julie's son??? Hahahahahahahaha https://t.co/LuSPzbRoXc",FALSE,0,NA,2020-08-20 13:55:52,FALSE,NA,"1296445850391056384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UnQueened_Lady",3,TRUE,FALSE,NA,NA
"31","Aunt Julie is your modern Tiya Hulia",FALSE,0,NA,2020-08-20 13:54:36,FALSE,NA,"1296445532395769857",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gefreogan_",0,FALSE,FALSE,NA,NA
"32","RT @cnnphilippines: “Aunt Julie meets Tita Pia”

Influencer @macoydubs1 is changing the vlogging landscape with his wit and humor, helping…",FALSE,0,NA,2020-08-20 13:54:25,FALSE,NA,"1296445487504076800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IStanDKFam",40,TRUE,FALSE,NA,NA
"33","Aunt Julie and Aunt Cely https://t.co/IgCjAomwsQ",FALSE,2,NA,2020-08-20 13:50:46,FALSE,NA,"1296444567076720644",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alexisr0an",0,FALSE,FALSE,NA,NA
"34","@macoydubs1 Now, I wanna see my Aunt Julie play this",FALSE,3,"macoydubs1",2020-08-20 13:50:06,FALSE,"1296444004406566913","1296444399031853056","1204452994034454528","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mrkneilpalomo",0,FALSE,FALSE,NA,NA
